,imdbID,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,rating_cat,genres_code
64264,tt0328614,Virgin Blues,Virgin Blues,1974.0,99.0,Drama,5.8,46,middle,8
4180,tt0022251,Pardon Us,Pardon Us,1931.0,56.0,Drama,6.8,2768,high,8
89288,tt12302378,Killer Bee Invasion,Killer Bee Invasion,2020.0,93.81829253746335,Action,5.7,28,middle,0
138641,tt3835314,Savior,Savior,2015.0,127.0,Crime,6.6,25,middle,6
123028,tt2365937,Re-encounter,"Hye-hwa, dong",2010.0,108.0,Drama,6.8,112,high,8
159297,tt7445304,For We Are Many,For We Are Many,2019.0,80.0,Horror,3.9,450,middle,14
144693,tt4819510,Chicken People,Chicken People,2016.0,83.0,Comedy,7.0,899,high,5
1393,tt0013071,The Dictator,The Dictator,1922.0,60.0,Drama,2.6,22,low,8
153549,tt6249970,Family Man,Ayalvar,1993.0,93.81829253746335,Comedy,5.0,27,middle,5
121871,tt2310109,Small Time,Small Time,2014.0,104.0,Drama,6.0,1495,middle,8
18228,tt0050422,The Fuzzy Pink Nightgown,The Fuzzy Pink Nightgown,1957.0,87.0,Crime,5.7,671,middle,6
116729,tt2102473,Wild Home,Wild Home,2014.0,75.0,Drama,7.2,7,high,8
112676,tt1907761,Stanley Ka Dabba,Stanley Ka Dabba,2011.0,96.0,Comedy,7.8,7549,high,5
61522,tt0289911,Dark Carnival,Dark Carnival,1993.0,90.0,Horror,2.5,199,low,14
2924,tt0019127,Misdeal,Maldone,1928.0,102.0,Drama,7.1,239,high,8
17780,tt0049353,I've Lived Before,I've Lived Before,1956.0,82.0,Drama,6.3,151,middle,8
18136,tt0050222,Calypso Heat Wave,Calypso Heat Wave,1957.0,86.0,Musical,5.6,96,middle,16
52930,tt0188760,Killer Elephants,Killer Elephants,1976.0,83.0,Crime,4.6,78,middle,6
165660,tt9016296,Best Intentions,Les bonnes intentions,2018.0,103.0,Drama,5.7,370,middle,8
48650,tt0148931,Sleepy Eyes of Death: Castle Menagerie,Nemuri Kyôshirô: Akujo-gari,1969.0,82.0,Drama,6.5,131,middle,8
16222,tt0045793,From Here to Eternity,From Here to Eternity,1953.0,118.0,Romance,7.6,50287,high,20
156716,tt6890828,"Cometa: Him, His Dog and Their World","Cometa: Him, His Dog and their World",2017.0,105.0,Drama,6.4,65,middle,8
132041,tt3079752,The Wedding Dress,The Wedding Dress,2014.0,92.0,Drama,5.8,17,middle,8
2556,tt0017843,Easy Virtue,Easy Virtue,1927.0,80.0,Romance,5.5,3017,middle,20
53523,tt0194813,Persecution,Diogmos,1964.0,100.0,War,7.1,66,high,25
25588,tt0066939,Cut-Throats Nine,Condenados a vivir,1972.0,90.0,Thriller,6.7,1356,middle,24
